"","MLM","MMM","HHH","HLH","MHM","HMM","HMH","LML","LHL","LLL","LLM","MLH","MHL","MML","LMM","MMH","HLM","MHH","MLL","LHM"
"MLM",0.0736607142857143,0.0870535714285714,0.196428571428571,0.0736607142857143,0.162946428571429,0.0078125,0.0647321428571429,0.0892857142857143,0.160714285714286,0.0580357142857143,0.00558035714285714,0,0,0.00669642857142857,0.00892857142857143,0,0,0,0,0.00446428571428571
"MMM",0.157894736842105,0.0894736842105263,0.145614035087719,0.0614035087719298,0.0368421052631579,0.012280701754386,0.0789473684210526,0.0964912280701754,0.259649122807018,0.0491228070175439,0,0,0,0,0.012280701754386,0,0,0,0,0
"HHH",0.159214830970556,0.0436205016357688,0.0894220283533261,0.0610687022900763,0.0512540894220284,0,0.152671755725191,0.102508178844057,0.0599781897491821,0.256270447110142,0.00218102508178844,0.00436205016357688,0.00654307524536532,0,0,0,0.00654307524536532,0,0.00436205016357688,0
"HLH",0.100550964187328,0.081267217630854,0.190082644628099,0.0275482093663912,0.0399449035812672,0.012396694214876,0.115702479338843,0.140495867768595,0.0964187327823691,0.169421487603306,0,0,0.0068870523415978,0,0,0.0192837465564738,0,0,0,0
"MHM",0.201970443349754,0.0985221674876847,0.110837438423645,0.108374384236453,0.0591133004926108,0.0344827586206897,0.061576354679803,0.150246305418719,0.0738916256157636,0.0812807881773399,0,0,0.00246305418719212,0,0.0172413793103448,0,0,0,0,0
"HMM",0.432432432432432,0,0.189189189189189,0,0,0,0.378378378378378,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMH",0.118686868686869,0.0845959595959596,0.156565656565657,0.106060606060606,0.0366161616161616,0,0.156565656565657,0.102272727272727,0.106060606060606,0.125,0,0,0,0,0,0.00757575757575758,0,0,0,0
"LML",0.12962962962963,0.155270655270655,0.0797720797720798,0.200854700854701,0.0327635327635328,0,0.0455840455840456,0.10968660968661,0.156695156695157,0.066951566951567,0.0142450142450142,0,0.00854700854700855,0,0,0,0,0,0,0
"LHL",0.153217568947906,0.0408580183861083,0.0541368743615935,0.18488253319714,0.0551583248212462,0,0.153217568947906,0.0980592441266599,0.131767109295199,0.102145045965271,0,0.0143003064351379,0.00715015321756895,0,0,0,0,0.00510725229826353,0,0
"LLL",0.0924261874197689,0.0911424903722722,0.145057766367137,0.0924261874197689,0.0397946084724005,0,0.13607188703466,0.0397946084724005,0.237483953786906,0.0706033376123235,0.00898587933247754,0.0166880616174583,0.00898587933247754,0,0,0,0,0,0.0205391527599487,0
"LLM",0,0.0833333333333333,0.291666666666667,0,0,0,0.416666666666667,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"MLH",0,0.129032258064516,0,0,0,0,0.419354838709677,0.451612903225806,0,0,0,0,0,0,0,0,0,0,0,0
"MHL",0.206896551724138,0.0344827586206897,0,0.310344827586207,0,0,0,0.241379310344828,0.206896551724138,0,0,0,0,0,0,0,0,0,0,0
"MML",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMM",0,0.68,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
"MMH",0,0.7,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLM",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHH",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLL",0,0,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
"LHM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
